Algo,InconsModelSize,NoOfCoreRxns,Runtime,LPS
FC,6000,4950,72.7827089,3830
SPcc_SPc,6000,4950,0.491432,12
SP,6000,4950,0.4645032,9
SW,6000,4950,3.00506,11
FC,6500,50,73.5935227,3580
SPcc_SPc,6500,50,0.5229616,10
SP,6500,50,0.518269,9
SW,6500,50,6.8265373,9
FC,6500,150,73.2103484,3584
SPcc_SPc,6500,150,0.5298721,11
SP,6500,150,0.5443226,9
SW,6500,150,6.9066396,13
FC,6500,250,73.9683574,3584
SPcc_SPc,6500,250,0.5772832,11
SP,6500,250,0.5494888,9
SW,6500,250,6.9496949,14
FC,6500,350,73.7303854,3584
SPcc_SPc,6500,350,0.5740057,11
SP,6500,350,0.533591,9
SW,6500,350,6.8558904,9
FC,6500,450,74.2797056,3584
SPcc_SPc,6500,450,0.5907332,12
SP,6500,450,0.4886832,7
SW,6500,450,7.0612068,15
FC,6500,550,73.458208,3584
SPcc_SPc,6500,550,0.5655059,11
SP,6500,550,0.5374662,9
SW,6500,550,7.0523549,11
FC,6500,650,73.8406636,3584
SPcc_SPc,6500,650,0.5535564,11
SP,6500,650,0.5552965,9
SW,6500,650,6.8571976,10
FC,6500,750,73.5879497,3584
SPcc_SPc,6500,750,0.5858858,12
SP,6500,750,0.5224317,9
SW,6500,750,6.8426506,12
FC,6500,850,73.5389109,3590
SPcc_SPc,6500,850,0.5551381,11
SP,6500,850,0.5228202,9
SW,6500,850,6.83144,12
FC,6500,950,73.7901984,3588
SPcc_SPc,6500,950,0.5753649,12
SP,6500,950,0.5321688,9
SW,6500,950,7.1806503,11
FC,6500,1050,73.802419,3594
SPcc_SPc,6500,1050,0.6516358,15
SP,6500,1050,0.5392307,9
SW,6500,1050,6.8765854,11
FC,6500,1150,73.9219192,3590
SPcc_SPc,6500,1150,0.5633087,12
SP,6500,1150,0.5365002,9
SW,6500,1150,6.8330999,12
FC,6500,1250,73.3817409,3596
SPcc_SPc,6500,1250,0.6030993,14
SP,6500,1250,0.5282061,9
SW,6500,1250,6.8506725,11
FC,6500,1350,73.4854074,3592
SPcc_SPc,6500,1350,0.568148,12
SP,6500,1350,0.5597704,9
SW,6500,1350,6.8594915,12
FC,6500,1450,73.7051033,3592
SPcc_SPc,6500,1450,0.6262833,14
