Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Acinetobacter_radioresistens_WC_A_157,455,93
Acinetobacter_sp_ATCC_27244,361,86
Acinetobacter_sp_OIFC021,388,83
Acinetobacter_sp_RUH2624,385,92
Acinetobacter_sp_SH024,349,89
Acinetobacter_sp_WC_141,341,78
Acinetobacter_sp_WC_323,399,86
Actinobacillus_pleuropneumoniae_L20,426,59
Actinobacillus_pleuropneumoniae_S8,427,61
Actinobacillus_pleuropneumoniae_serovar_10_str_D13039,385,62
Actinobacillus_pleuropneumoniae_serovar_11_str_56153,465,72
Actinobacillus_pleuropneumoniae_serovar_12_str_1096,431,61
Actinobacillus_pleuropneumoniae_serovar_13_str_N273,412,61
Actinobacillus_pleuropneumoniae_serovar_1_str_4074,461,68
Actinobacillus_pleuropneumoniae_serovar_2_str_4226,434,57
Actinobacillus_pleuropneumoniae_serovar_2_str_S1536,461,56
Actinobacillus_pleuropneumoniae_serovar_3_str_JL03,437,57
Actinobacillus_pleuropneumoniae_serovar_4_str_M62,444,61
Actinobacillus_pleuropneumoniae_serovar_6_str_Femo,403,53
Actinobacillus_pleuropneumoniae_serovar_7_str_AP76,450,64
Actinobacillus_pleuropneumoniae_serovar_9_str_CVJ13261,453,67
Actinomyces_bowdenii_OH5050,347,72
Actinomyces_cardiffensis_F0333,434,68
Actinomyces_europaeus_ACS_120_V_Col10b,393,75
Actinomyces_europaeus_UMB0652_ERR1203664_17957_1_76_1,392,88
Actinomyces_georgiae_DSM_6843,455,89
Actinomyces_gerencseriae_DSM_6844,402,97
Actinomyces_graevenitzii_C83,470,85
Actinomyces_hongkongensis_HKU8,361,78
Actinomyces_israelii_DSM_43320,404,114
Actinomyces_johnsonii_F0510,356,98
Actinomyces_johnsonii_F0542,367,89
Actinomyces_massiliensis_4401292,378,90
Actinomyces_massiliensis_F0489,401,99
Actinomyces_meyeri_DSM_20733,372,76
Actinomyces_naeslundii_str_Howell_279,407,72
Actinomyces_odontolyticus_ATCC_17982,443,79
Actinomyces_odontolyticus_F0309,499,75
Actinomyces_oris_K20,463,122
Actinomyces_oris_T14V,409,85
Actinomyces_polynesiensis_DSM_27066,482,110
Actinomyces_sp_HPA0247,391,76
Actinomyces_sp_ICM39,394,70
Actinomyces_sp_ICM47,399,75
Actinomyces_sp_ph3,447,68
