Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Staphylococcus_aureus_M1359,315,82
Staphylococcus_aureus_M1367,296,79
Staphylococcus_aureus_M1373,307,79
Staphylococcus_aureus_M1374,299,80
Staphylococcus_aureus_M1394,303,81
Staphylococcus_aureus_M1405,302,80
Staphylococcus_aureus_M1407,307,81
Staphylococcus_aureus_M1450,307,83
Staphylococcus_aureus_M1451,309,79
Staphylococcus_aureus_M1462,305,79
Staphylococcus_aureus_M1463,302,79
Staphylococcus_aureus_M1466,311,81
Staphylococcus_aureus_M1481,306,76
Staphylococcus_aureus_M1510,292,79
Staphylococcus_aureus_M1520,285,79
Staphylococcus_aureus_M1521,303,81
Staphylococcus_aureus_M1531,306,80
Staphylococcus_aureus_M1533,299,80
Staphylococcus_aureus_M1544,305,79
Staphylococcus_aureus_M1556,298,78
Staphylococcus_aureus_M1563,303,81
Staphylococcus_aureus_M1565,306,78
Staphylococcus_aureus_M1578,297,81
Staphylococcus_aureus_M1,296,80
Staphylococcus_aureus_M2,301,86
Staphylococcus_aureus_NN54,289,77
Staphylococcus_aureus_O11,313,81
Staphylococcus_aureus_O46,307,84
Staphylococcus_aureus_PM1,310,78
Staphylococcus_aureus_PPUKM_261_2009,308,80
Staphylococcus_aureus_PPUKM_332_2009,312,88
Staphylococcus_aureus_PPUKM_377_2009,316,88
Staphylococcus_aureus_PPUKM_775_2009,317,84
Staphylococcus_aureus_RF122,300,85
Staphylococcus_aureus_ST228_10388,365,83
Staphylococcus_aureus_ST228_10497,360,88
Staphylococcus_aureus_ST228_15532,338,89
Staphylococcus_aureus_ST228_16035,351,89
Staphylococcus_aureus_ST228_18412,349,85
Staphylococcus_aureus_VH221,296,73
Staphylococcus_aureus_subsp_aureus_06BA18369,311,79
Staphylococcus_aureus_subsp_aureus_091751,302,79
Staphylococcus_aureus_subsp_aureus_103564,295,80
Staphylococcus_aureus_subsp_aureus_112808A,308,79
Staphylococcus_aureus_subsp_aureus_11819_97,298,81
Staphylococcus_aureus_subsp_aureus_118,301,80
Staphylococcus_aureus_subsp_aureus_120,294,76
Staphylococcus_aureus_subsp_aureus_122051,287,75
Staphylococcus_aureus_subsp_aureus_132,312,77
Staphylococcus_aureus_subsp_aureus_21172,308,78
Staphylococcus_aureus_subsp_aureus_21178,305,81
Staphylococcus_aureus_subsp_aureus_21189,308,80
Staphylococcus_aureus_subsp_aureus_21193,304,78
Staphylococcus_aureus_subsp_aureus_21195,307,80
Staphylococcus_aureus_subsp_aureus_21196,309,78
Staphylococcus_aureus_subsp_aureus_21200,317,80
Staphylococcus_aureus_subsp_aureus_21201,309,75
Staphylococcus_aureus_subsp_aureus_21202,311,84
Staphylococcus_aureus_subsp_aureus_21209,308,79
Staphylococcus_aureus_subsp_aureus_21232,302,78
Staphylococcus_aureus_subsp_aureus_21236,303,81
Staphylococcus_aureus_subsp_aureus_21252,298,82
Staphylococcus_aureus_subsp_aureus_21259,315,82
Staphylococcus_aureus_subsp_aureus_21262,298,77
Staphylococcus_aureus_subsp_aureus_21264,299,76
Staphylococcus_aureus_subsp_aureus_21266,310,77
Staphylococcus_aureus_subsp_aureus_21269,343,78
Staphylococcus_aureus_subsp_aureus_21272,359,77
Staphylococcus_aureus_subsp_aureus_21282,315,89
Staphylococcus_aureus_subsp_aureus_21283,297,79
Staphylococcus_aureus_subsp_aureus_21305,299,77
Staphylococcus_aureus_subsp_aureus_21310,311,77
Staphylococcus_aureus_subsp_aureus_21318,314,80
Staphylococcus_aureus_subsp_aureus_21331,307,80
Staphylococcus_aureus_subsp_aureus_21333,296,80
Staphylococcus_aureus_subsp_aureus_21334,293,80
Staphylococcus_aureus_subsp_aureus_21340,306,76
Staphylococcus_aureus_subsp_aureus_21342,305,79
Staphylococcus_aureus_subsp_aureus_21343,304,83
Staphylococcus_aureus_subsp_aureus_21345,306,78
Staphylococcus_aureus_subsp_aureus_333,303,82
Staphylococcus_aureus_subsp_aureus_3989,316,82
Staphylococcus_aureus_subsp_aureus_55_2053,301,81
Staphylococcus_aureus_subsp_aureus_58_424,300,81
Staphylococcus_aureus_subsp_aureus_65_1322,294,82
Staphylococcus_aureus_subsp_aureus_68_397,310,80
Staphylococcus_aureus_subsp_aureus_71193,312,77
Staphylococcus_aureus_subsp_aureus_A017934_97,291,78
Staphylococcus_aureus_subsp_aureus_ATCC_51811,299,79
Staphylococcus_aureus_subsp_aureus_ATCC_BAA_39,311,77
Staphylococcus_aureus_subsp_aureus_Btn1260,301,79
Staphylococcus_aureus_subsp_aureus_C101,299,83
Staphylococcus_aureus_subsp_aureus_C160,296,79
Staphylococcus_aureus_subsp_aureus_C427,299,76
Staphylococcus_aureus_subsp_aureus_CBD_635,303,82
Staphylococcus_aureus_subsp_aureus_CGS00,303,81
Staphylococcus_aureus_subsp_aureus_CGS01,303,80
Staphylococcus_aureus_subsp_aureus_CGS03,301,76
Staphylococcus_aureus_subsp_aureus_CIG1057,308,83
Staphylococcus_aureus_subsp_aureus_CIG1096,297,77
Staphylococcus_aureus_subsp_aureus_CIG1114,305,80
Staphylococcus_aureus_subsp_aureus_CIG1150,294,75
Staphylococcus_aureus_subsp_aureus_CIG1165,307,82
Staphylococcus_aureus_subsp_aureus_CIG1176,288,79
Staphylococcus_aureus_subsp_aureus_CIG1213,303,82
Staphylococcus_aureus_subsp_aureus_CIG1214,301,80
Staphylococcus_aureus_subsp_aureus_CIG1233,292,82
Staphylococcus_aureus_subsp_aureus_CIG1242,293,82
Staphylococcus_aureus_subsp_aureus_CIG1267,295,77
Staphylococcus_aureus_subsp_aureus_CIG149,297,82
Staphylococcus_aureus_subsp_aureus_CIG1500,300,84
Staphylococcus_aureus_subsp_aureus_CIG1524,311,81
Staphylococcus_aureus_subsp_aureus_CIG1605,294,79
Staphylococcus_aureus_subsp_aureus_CIG1612,307,77
Staphylococcus_aureus_subsp_aureus_CIG1750,302,81
Staphylococcus_aureus_subsp_aureus_CIG1769,308,83
Staphylococcus_aureus_subsp_aureus_CIG1770,300,85
Staphylococcus_aureus_subsp_aureus_CIG1835,304,79
Staphylococcus_aureus_subsp_aureus_CIG2018,308,80
Staphylococcus_aureus_subsp_aureus_CIG290,299,83
Staphylococcus_aureus_subsp_aureus_CIG547,300,81
Staphylococcus_aureus_subsp_aureus_CIGC128,301,77
Staphylococcus_aureus_subsp_aureus_CIGC340D,309,83
Staphylococcus_aureus_subsp_aureus_CIGC341D,293,81
Staphylococcus_aureus_subsp_aureus_CIGC345D,308,78
Staphylococcus_aureus_subsp_aureus_CIGC348,304,80
Staphylococcus_aureus_subsp_aureus_CIGC93,312,80
Staphylococcus_aureus_subsp_aureus_CM05,298,80
Staphylococcus_aureus_subsp_aureus_COL,301,78
Staphylococcus_aureus_subsp_aureus_D139,304,73
Staphylococcus_aureus_subsp_aureus_DR10,303,81
Staphylococcus_aureus_subsp_aureus_DSM_20231,307,78
Staphylococcus_aureus_subsp_aureus_E1410,310,83
Staphylococcus_aureus_subsp_aureus_ECT_R_2,300,80
Staphylococcus_aureus_subsp_aureus_ED133,307,79
Staphylococcus_aureus_subsp_aureus_ED98,306,75
Staphylococcus_aureus_subsp_aureus_EMRSA16,301,80
Staphylococcus_aureus_subsp_aureus_GR1,309,84
Staphylococcus_aureus_subsp_aureus_H19,306,75
Staphylococcus_aureus_subsp_aureus_H29,304,79
Staphylococcus_aureus_subsp_aureus_HO_5096_0412,305,79
Staphylococcus_aureus_subsp_aureus_IS_105,297,75
Staphylococcus_aureus_subsp_aureus_IS_111,314,81
Staphylococcus_aureus_subsp_aureus_IS_122,302,78
Staphylococcus_aureus_subsp_aureus_IS_189,321,83
Staphylococcus_aureus_subsp_aureus_IS_250,349,69
Staphylococcus_aureus_subsp_aureus_IS_3,296,76
Staphylococcus_aureus_subsp_aureus_IS_55,308,82
Staphylococcus_aureus_subsp_aureus_IS_88,318,78
Staphylococcus_aureus_subsp_aureus_IS_99,293,50
Staphylococcus_aureus_subsp_aureus_IS_K,341,65
Staphylococcus_aureus_subsp_aureus_JH9,301,79
Staphylococcus_aureus_subsp_aureus_JKD6159,303,73
Staphylococcus_aureus_subsp_aureus_LCT_SA112,301,79
Staphylococcus_aureus_subsp_aureus_LGA251,319,74
Staphylococcus_aureus_subsp_aureus_M013,314,79
Staphylococcus_aureus_subsp_aureus_M1015,295,83
Staphylococcus_aureus_subsp_aureus_M809,304,81
Staphylococcus_aureus_subsp_aureus_M876,297,83
Staphylococcus_aureus_subsp_aureus_M899,296,85
Staphylococcus_aureus_subsp_aureus_MN8,292,78
Staphylococcus_aureus_subsp_aureus_MRGR3,314,83
Staphylococcus_aureus_subsp_aureus_MRSA131,300,77
Staphylococcus_aureus_subsp_aureus_MRSA177,314,81
Staphylococcus_aureus_subsp_aureus_MRSA252,295,80
Staphylococcus_aureus_subsp_aureus_MSHR1132,316,83
Staphylococcus_aureus_subsp_aureus_MSSA476,315,80
Staphylococcus_aureus_subsp_aureus_MW2,299,78
Staphylococcus_aureus_subsp_aureus_Mu3,299,83
Staphylococcus_aureus_subsp_aureus_Mu50,300,79
Staphylococcus_aureus_subsp_aureus_Mu50_omega,298,82
Staphylococcus_aureus_subsp_aureus_N315,292,80
Staphylococcus_aureus_subsp_aureus_NBRC_100910,301,84
Staphylococcus_aureus_subsp_aureus_NCTC_8325,364,84
Staphylococcus_aureus_subsp_aureus_NN50,308,79
Staphylococcus_aureus_subsp_aureus_PB32,349,78
Staphylococcus_aureus_subsp_aureus_RN4220,304,78
Staphylococcus_aureus_subsp_aureus_T0131,312,82
Staphylococcus_aureus_subsp_aureus_TCH130,312,82
Staphylococcus_aureus_subsp_aureus_TCH60,302,78
Staphylococcus_aureus_subsp_aureus_TCH70,305,77
Staphylococcus_aureus_subsp_aureus_TW20,303,79
Staphylococcus_aureus_subsp_aureus_USA300_FPR3757,349,79
Staphylococcus_aureus_subsp_aureus_USA300_TCH1516,310,80
Staphylococcus_aureus_subsp_aureus_USA300_TCH959,295,82
Staphylococcus_aureus_subsp_aureus_USA300,307,80
Staphylococcus_aureus_subsp_aureus_VC40,313,80
Staphylococcus_aureus_subsp_aureus_VCU006,303,79
Staphylococcus_aureus_subsp_aureus_VH60,307,77
Staphylococcus_aureus_subsp_aureus_VRS10,305,77
Staphylococcus_aureus_subsp_aureus_VRS11a,291,76
Staphylococcus_aureus_subsp_aureus_VRS11b,303,81
Staphylococcus_aureus_subsp_aureus_VRS1,300,88
Staphylococcus_aureus_subsp_aureus_VRS2,302,79
Staphylococcus_aureus_subsp_aureus_VRS3a,300,77
Staphylococcus_aureus_subsp_aureus_VRS4,316,82
Staphylococcus_aureus_subsp_aureus_VRS5,301,84
Staphylococcus_aureus_subsp_aureus_VRS6,299,84
Staphylococcus_aureus_subsp_aureus_VRS7,305,82
Staphylococcus_aureus_subsp_aureus_VRS8,303,83
Staphylococcus_aureus_subsp_aureus_VRS9,294,79
Staphylococcus_aureus_subsp_aureus_WBG10049,316,77
Staphylococcus_aureus_subsp_aureus_WW2703_97,300,88
Staphylococcus_aureus_subsp_aureus_str_JKD6008,309,79
Staphylococcus_aureus_subsp_aureus_str_JKD6009,315,78
Staphylococcus_aureus_subsp_aureus_str_Newman,301,82
Staphylococcus_capitis_QN1,411,93
Staphylococcus_capitis_SK14,478,89
Staphylococcus_capitis_VCU116,465,93
Staphylococcus_caprae_C87,440,92
Staphylococcus_cohnii_hu_01,345,77
Staphylococcus_cohnii_subsp_cohnii_532,394,95
Staphylococcus_epidermidis_12142587,444,79
Staphylococcus_epidermidis_14_1_R1_SE,452,88
Staphylococcus_epidermidis_41tr,379,72
Staphylococcus_epidermidis_528m,353,69
Staphylococcus_epidermidis_A487,378,103
Staphylococcus_epidermidis_ATCC_12228,428,79
Staphylococcus_epidermidis_AU12_03,468,77
Staphylococcus_epidermidis_BCM_HMP0060,456,77
Staphylococcus_epidermidis_BVS058A4,445,78
Staphylococcus_epidermidis_FRI909,453,83
Staphylococcus_epidermidis_M0881,466,75
Staphylococcus_epidermidis_M23864W2grey,472,78
Staphylococcus_epidermidis_NIH04003,453,75
Staphylococcus_epidermidis_NIH04008,406,79
Staphylococcus_epidermidis_NIH05001,446,77
Staphylococcus_epidermidis_NIH05003,458,76
Staphylococcus_epidermidis_NIH05005,450,83
Staphylococcus_epidermidis_NIH051475,469,84
Staphylococcus_epidermidis_NIH051668,456,81
Staphylococcus_epidermidis_NIH06004,466,75
Staphylococcus_epidermidis_NIH08001,426,69
Staphylococcus_epidermidis_NIHLM001,453,77
Staphylococcus_epidermidis_NIHLM003,455,79
Staphylococcus_epidermidis_NIHLM008,460,75
Staphylococcus_epidermidis_NIHLM015,446,77
Staphylococcus_epidermidis_NIHLM018,429,77
Staphylococcus_epidermidis_NIHLM020,471,72
Staphylococcus_epidermidis_NIHLM021,424,71
Staphylococcus_epidermidis_NIHLM023,452,74
Staphylococcus_epidermidis_NIHLM031,459,80
Staphylococcus_epidermidis_NIHLM037,444,80
Staphylococcus_epidermidis_NIHLM039,464,79
Staphylococcus_epidermidis_NIHLM040,424,72
Staphylococcus_epidermidis_NIHLM049,453,79
Staphylococcus_epidermidis_NIHLM053,450,81
Staphylococcus_epidermidis_NIHLM057,446,82
Staphylococcus_epidermidis_NIHLM061,344,72
Staphylococcus_epidermidis_NIHLM067,464,76
Staphylococcus_epidermidis_NIHLM070,350,73
Staphylococcus_epidermidis_NIHLM087,468,82
Staphylococcus_epidermidis_NIHLM088,458,79
Staphylococcus_epidermidis_NIHLM095,423,77
Staphylococcus_epidermidis_RP62A,445,79
Staphylococcus_epidermidis_SK135,467,82
Staphylococcus_epidermidis_UC7032,458,77
Staphylococcus_epidermidis_VCU028,450,71
Staphylococcus_epidermidis_VCU037,454,77
Staphylococcus_epidermidis_VCU041,456,77
Staphylococcus_epidermidis_VCU045,443,69
Staphylococcus_epidermidis_VCU065,453,82
Staphylococcus_epidermidis_VCU071,460,80
Staphylococcus_epidermidis_VCU081,457,80
Staphylococcus_epidermidis_VCU105,458,76
Staphylococcus_epidermidis_VCU109,458,80
Staphylococcus_epidermidis_VCU117,453,83
Staphylococcus_epidermidis_VCU118,441,85
Staphylococcus_epidermidis_VCU120,462,81
Staphylococcus_epidermidis_VCU123,439,79
Staphylococcus_epidermidis_VCU125,448,75
Staphylococcus_epidermidis_VCU126,446,82
Staphylococcus_epidermidis_VCU127,454,81
Staphylococcus_epidermidis_VCU128,446,79
Staphylococcus_epidermidis_VCU129,453,84
Staphylococcus_epidermidis_VCU144,455,80
Staphylococcus_epidermidis_W23144,471,86
Staphylococcus_equorum_subsp_equorum_Mu2,439,100
Staphylococcus_haemolyticus_JCSC1435,466,85
Staphylococcus_haemolyticus_R1P1,510,83
Staphylococcus_hominis_SK119,460,91
Staphylococcus_hominis_VCU122,462,92
Staphylococcus_hominis_subsp_hominis_C80,428,79
Staphylococcus_hominis_subsp_hominis_ZBW5,485,89
Staphylococcus_intermedius_NCTC_11048,356,88
Staphylococcus_lugdunensis_ACS_027_V_Sch2,470,96
Staphylococcus_lugdunensis_HKU09_01,407,99
Staphylococcus_lugdunensis_M23590,470,98
Staphylococcus_lugdunensis_N920143,464,94
Staphylococcus_lugdunensis_VCU139,477,98
Staphylococcus_pasteuri_BAB3,330,91
Staphylococcus_pasteuri_SP1,375,95
Staphylococcus_pettenkoferi_VCU012,424,91
Staphylococcus_pseudintermedius_ED99,460,101
Staphylococcus_pseudintermedius_HKU10_03,421,94
Staphylococcus_saprophyticus_subsp_saprophyticus_ATCC_15305,427,89
Staphylococcus_sciuri_subsp_sciuri_DSM_20345,333,93
Staphylococcus_sciuri_subsp_sciuri_Z8,430,91
Staphylococcus_simulans_ACS_120_V_Sch1,451,88
Staphylococcus_sp_HGB0015,520,115
Staphylococcus_succinus_SNUC_1280,376,95
Staphylococcus_succinus_subsp_casei_DSM_15096,394,105
Staphylococcus_succinus_subsp_succinus_DSM_14617,369,94
Staphylococcus_vitulinus_F1028,413,94
Staphylococcus_warneri_L37603,500,98
Staphylococcus_warneri_SG1,413,96
Staphylococcus_xylosus_DMB3_Bh1,431,92
Staphylococcus_xylosus_NJ,436,94
Stenotrophomonas_maltophilia_ATCC_19867,509,106
Stenotrophomonas_maltophilia_AU12_09,529,108
Stenotrophomonas_maltophilia_Ab55555,496,95
Stenotrophomonas_maltophilia_D457,499,99
Stenotrophomonas_maltophilia_EPM1,522,94
Stenotrophomonas_maltophilia_ISMMS3,397,92
Stenotrophomonas_maltophilia_K279a,495,101
Stenotrophomonas_maltophilia_PML168,521,96
Stenotrophomonas_maltophilia_R551_3,503,109
Stenotrophomonas_maltophilia_RR_10,506,79
Stenotrophomonas_rhizophila_PCA13,430,66
Stomatobaculum_longum_ACC2,299,80
Stoquefichus_massiliensis_AP9,404,69
Streptococcus_agalactiae_09mas018883,391,55
Streptococcus_agalactiae_2603V_R,401,48
Streptococcus_agalactiae_A909,386,53
Streptococcus_agalactiae_BSU108,401,48
Streptococcus_agalactiae_BSU133,402,54
Streptococcus_agalactiae_BSU165,407,49
Streptococcus_agalactiae_BSU167,437,56
Streptococcus_agalactiae_BSU174,374,45
Streptococcus_agalactiae_BSU178,406,56
Streptococcus_agalactiae_BSU247,399,42
Streptococcus_agalactiae_BSU248,394,51
Streptococcus_agalactiae_BSU252,373,50
Streptococcus_agalactiae_BSU253,403,41
Streptococcus_agalactiae_BSU260,400,47
Streptococcus_agalactiae_BSU442,396,54
Streptococcus_agalactiae_BSU447,392,50
Streptococcus_agalactiae_BSU450,396,48
Streptococcus_agalactiae_BSU451,397,54
Streptococcus_agalactiae_BSU454,408,56
Streptococcus_agalactiae_BSU92,392,47
Streptococcus_agalactiae_BSU96,381,52
Streptococcus_agalactiae_CCUG_17336,380,50
Streptococcus_agalactiae_CCUG_19094,395,53
Streptococcus_agalactiae_CCUG_24810,414,53
Streptococcus_agalactiae_CCUG_25532,407,47
Streptococcus_agalactiae_CCUG_28551,393,55
Streptococcus_agalactiae_CCUG_29376,408,52
Streptococcus_agalactiae_CCUG_29782,416,49
Streptococcus_agalactiae_CCUG_30636,390,55
Streptococcus_agalactiae_CCUG_37430,389,52
Streptococcus_agalactiae_CCUG_37736,399,51
Streptococcus_agalactiae_CCUG_37737,405,57
Streptococcus_agalactiae_CCUG_37738,396,53
Streptococcus_agalactiae_CCUG_37739,389,45
Streptococcus_agalactiae_CCUG_37740,384,54
Streptococcus_agalactiae_CCUG_37741,403,58
Streptococcus_agalactiae_CCUG_37742,382,57
Streptococcus_agalactiae_CCUG_38383,307,48
Streptococcus_agalactiae_CCUG_39096_A,401,54
Streptococcus_agalactiae_CCUG_44050,409,56
Streptococcus_agalactiae_CCUG_44074,400,43
Streptococcus_agalactiae_CCUG_44077,414,48
Streptococcus_agalactiae_CCUG_44110,404,46
Streptococcus_agalactiae_CCUG_44140,387,55
Streptococcus_agalactiae_CCUG_44186,388,52
Streptococcus_agalactiae_CCUG_45061,407,57
Streptococcus_agalactiae_CCUG_47293,410,56
Streptococcus_agalactiae_CCUG_49072,378,54
Streptococcus_agalactiae_CCUG_49086,400,51
Streptococcus_agalactiae_CCUG_49087,393,56
Streptococcus_agalactiae_CCUG_49100,385,56
Streptococcus_agalactiae_CCUG_91,397,61
Streptococcus_agalactiae_FSL_C1_487,404,56
Streptococcus_agalactiae_FSL_C1_494,398,46
Streptococcus_agalactiae_FSL_F2_338,403,58
Streptococcus_agalactiae_FSL_F2_343,405,49
Streptococcus_agalactiae_FSL_S3_001,394,59
Streptococcus_agalactiae_FSL_S3_003,411,53
Streptococcus_agalactiae_FSL_S3_005,390,57
Streptococcus_agalactiae_FSL_S3_014,404,48
Streptococcus_agalactiae_FSL_S3_023,391,58
Streptococcus_agalactiae_FSL_S3_026,414,53
Streptococcus_agalactiae_FSL_S3_034,403,57
Streptococcus_agalactiae_FSL_S3_062,420,52
Streptococcus_agalactiae_FSL_S3_090,398,43
Streptococcus_agalactiae_FSL_S3_102,394,48
Streptococcus_agalactiae_FSL_S3_105,411,56
Streptococcus_agalactiae_FSL_S3_128,390,47
Streptococcus_agalactiae_FSL_S3_137,402,57
Streptococcus_agalactiae_FSL_S3_170,418,43
Streptococcus_agalactiae_FSL_S3_222,390,48
Streptococcus_agalactiae_FSL_S3_268,390,49
Streptococcus_agalactiae_FSL_S3_277,413,47
Streptococcus_agalactiae_FSL_S3_337,387,54
Streptococcus_agalactiae_FSL_S3_586,414,49
Streptococcus_agalactiae_FSL_S3_603,427,48
Streptococcus_agalactiae_FSL_S3_608,294,45
Streptococcus_agalactiae_FSL_S3_654,402,57
Streptococcus_agalactiae_GB00002,384,44
Streptococcus_agalactiae_GB00003,407,52
Streptococcus_agalactiae_GB00012,385,54
Streptococcus_agalactiae_GB00013,363,50
Streptococcus_agalactiae_GB00018,404,46
Streptococcus_agalactiae_GB00020,383,56
Streptococcus_agalactiae_GB00082,404,51
Streptococcus_agalactiae_GB00083,405,51
Streptococcus_agalactiae_GB00084,400,60
Streptococcus_agalactiae_GB00092,407,57
Streptococcus_agalactiae_GB00097,396,50
Streptococcus_agalactiae_GB00111,392,53
Streptococcus_agalactiae_GB00112,409,55
Streptococcus_agalactiae_GB00115,391,49
Streptococcus_agalactiae_GB00174,386,50
Streptococcus_agalactiae_GB00190,399,47
Streptococcus_agalactiae_GB00202,405,54
Streptococcus_agalactiae_GB00206,389,57
Streptococcus_agalactiae_GB00219,400,51
Streptococcus_agalactiae_GB00226,388,50
Streptococcus_agalactiae_GB00241,383,52
Streptococcus_agalactiae_GB00245,386,50
Streptococcus_agalactiae_GB00247,411,54
Streptococcus_agalactiae_GB00264,395,55
Streptococcus_agalactiae_GB00279,412,55
Streptococcus_agalactiae_GB00300,386,56
Streptococcus_agalactiae_GB00535,403,51
Streptococcus_agalactiae_GB00543,393,48
Streptococcus_agalactiae_GB00548,411,51
Streptococcus_agalactiae_GB00555,397,51
Streptococcus_agalactiae_GB00557,390,48
Streptococcus_agalactiae_GB00561,399,50
Streptococcus_agalactiae_GB00588,395,58
Streptococcus_agalactiae_GB00601,404,46
Streptococcus_agalactiae_GB00614,392,52
Streptococcus_agalactiae_GB00640,412,45
Streptococcus_agalactiae_GB00651,412,56
Streptococcus_agalactiae_GB00653,395,56
Streptococcus_agalactiae_GB00654,403,53
Streptococcus_agalactiae_GB00663,410,58
Streptococcus_agalactiae_GB00679,402,57
Streptococcus_agalactiae_GB00864,405,55
Streptococcus_agalactiae_GB00865,430,44
Streptococcus_agalactiae_GB00867,381,43
Streptococcus_agalactiae_GB00874,385,51
Streptococcus_agalactiae_GB00884,394,52
Streptococcus_agalactiae_GB00887,393,45
Streptococcus_agalactiae_GB00888,390,51
Streptococcus_agalactiae_GB00891,397,56
Streptococcus_agalactiae_GB00893,403,54
Streptococcus_agalactiae_GB00900,399,51
Streptococcus_agalactiae_GB00901,396,58
Streptococcus_agalactiae_GB00904,405,56
Streptococcus_agalactiae_GB00909,396,56
Streptococcus_agalactiae_GB00911,418,50
Streptococcus_agalactiae_GB00914,409,57
Streptococcus_agalactiae_GB00919,401,54
Streptococcus_agalactiae_GB00922,403,47
Streptococcus_agalactiae_GB00923,392,53
Streptococcus_agalactiae_GB00924,387,50
Streptococcus_agalactiae_GB00929,390,53
Streptococcus_agalactiae_GB00932,396,42
Streptococcus_agalactiae_GB00933,416,47
Streptococcus_agalactiae_GB00954,387,52
Streptococcus_agalactiae_GB00955,380,53
Streptococcus_agalactiae_GB00963,399,58
Streptococcus_agalactiae_GB00965,401,46
Streptococcus_agalactiae_GB00975,385,46
Streptococcus_agalactiae_GB00984,400,55
Streptococcus_agalactiae_GB00986,385,48
Streptococcus_agalactiae_GB00999,390,51
Streptococcus_agalactiae_GD201008_001,396,57
Streptococcus_agalactiae_ILRI005,427,50
Streptococcus_agalactiae_ILRI112,315,51
Streptococcus_agalactiae_LADL_05_108a,431,41
Streptococcus_agalactiae_LADL_90_503,394,50
Streptococcus_agalactiae_LMG_14609,414,52
Streptococcus_agalactiae_LMG_14838,419,45
Streptococcus_agalactiae_LMG_15081,392,53
Streptococcus_agalactiae_LMG_15083,399,57
Streptococcus_agalactiae_LMG_15084,414,56
Streptococcus_agalactiae_LMG_15085,399,54
Streptococcus_agalactiae_LMG_15089,439,52
Streptococcus_agalactiae_LMG_15090,400,58
Streptococcus_agalactiae_LMG_15091,319,43
Streptococcus_agalactiae_LMG_15092,403,56
Streptococcus_agalactiae_LMG_15094,392,51
Streptococcus_agalactiae_LMG_15095,393,54
Streptococcus_agalactiae_MRI_Z1_012,399,52
Streptococcus_agalactiae_MRI_Z1_022,385,54
Streptococcus_agalactiae_MRI_Z1_023,389,50
Streptococcus_agalactiae_MRI_Z1_025,398,56
Streptococcus_agalactiae_MRI_Z1_035,423,46
Streptococcus_agalactiae_MRI_Z1_038,419,52
Streptococcus_agalactiae_MRI_Z1_198,393,54
Streptococcus_agalactiae_MRI_Z1_199,389,26
Streptococcus_agalactiae_MRI_Z1_200,396,47
Streptococcus_agalactiae_MRI_Z1_201,398,46
Streptococcus_agalactiae_MRI_Z1_202,389,47
Streptococcus_agalactiae_MRI_Z1_203,395,43
Streptococcus_agalactiae_MRI_Z1_204,403,47
Streptococcus_agalactiae_MRI_Z1_205,381,50
Streptococcus_agalactiae_MRI_Z1_206,387,45
Streptococcus_agalactiae_MRI_Z1_211,381,54
Streptococcus_agalactiae_MRI_Z1_212,398,65
Streptococcus_agalactiae_MRI_Z1_213,409,43
Streptococcus_agalactiae_MRI_Z1_214,446,64
Streptococcus_agalactiae_MRI_Z1_215,395,58
Streptococcus_agalactiae_MRI_Z1_216,408,44
Streptococcus_agalactiae_MRI_Z1_217,424,50
Streptococcus_agalactiae_MRI_Z1_218,413,56
Streptococcus_agalactiae_MRI_Z1_219,406,53
Streptococcus_agalactiae_NEM316,402,44
Streptococcus_agalactiae_PR06,405,55
Streptococcus_agalactiae_SA20_06,351,50
Streptococcus_agalactiae_SS1014,395,56
Streptococcus_agalactiae_SS1218,312,53
Streptococcus_agalactiae_SS1219,400,61
Streptococcus_agalactiae_STIR_CD_01,393,54
Streptococcus_agalactiae_STIR_CD_09,394,48
Streptococcus_agalactiae_STIR_CD_14,372,50
Streptococcus_agalactiae_STIR_CD_17,304,54
Streptococcus_agalactiae_STIR_CD_21,401,54
Streptococcus_agalactiae_STIR_CD_22,397,54
Streptococcus_agalactiae_STIR_CD_23,385,53
Streptococcus_agalactiae_STIR_CD_24,410,55
Streptococcus_agalactiae_STIR_CD_26,398,54
Streptococcus_agalactiae_STIR_CD_27,395,56
Streptococcus_agalactiae_STIR_CD_28,393,52
Streptococcus_agalactiae_STIR_CD_29,310,43
Streptococcus_agalactiae_ZQ0910,398,52
Streptococcus_agalactiae_str_Gottschalk_1002A,397,46
Streptococcus_agalactiae_str_Gottschalk_1003A,402,54
Streptococcus_agalactiae_str_Gottschalk_13227,389,55
Streptococcus_agalactiae_str_Gottschalk_2864,372,52
Streptococcus_agalactiae_str_Gottschalk_31825,395,46
Streptococcus_agalactiae_str_Gottschalk_992B,367,52
Streptococcus_agalactiae_str_Gottschalk_998A,399,51
Streptococcus_agalactiae_str_Gottschalk_999B,396,53
Streptococcus_anginosus_1_2_62CV,383,84
Streptococcus_anginosus_CCUG_39159,423,79
Streptococcus_anginosus_F0211,418,74
Streptococcus_anginosus_SK1138,441,78
Streptococcus_anginosus_SK52,420,79
Streptococcus_australis_ATCC_700641,400,70
Streptococcus_bovis_ATCC_700338,332,59
Streptococcus_constellatus_subsp_constellatus_SK53,396,84
Streptococcus_constellatus_subsp_pharyngis_SK1060,434,83
Streptococcus_cristatus_ATCC_51100,373,93
Streptococcus_cristatus_LRIIBV4,347,79
Streptococcus_danieliae_NM51_B2_22,421,82
